,,Grouped by VISIT,Grouped by VISIT,Grouped by VISIT,Grouped by VISIT,Grouped by VISIT,Grouped by VISIT
,,Missing,Overall,0,1,2,P-Value
n,,,531,177,177,177,
"BMI, mean (SD)",,0,34.1 (7.0),34.5 (6.9),34.1 (7.2),33.6 (6.9),0.509
"Duration of diabetes, mean (SD)",,0,9.9 (9.1),9.4 (9.1),9.9 (9.1),10.4 (9.1),0.602
"HbA1c, mean (SD)",,0,8.0 (1.6),9.1 (1.7),7.6 (1.2),7.3 (1.1),<0.001
"Age, mean (SD)",,0,57.4 (11.2),57.4 (11.3),57.4 (11.3),57.4 (11.3),nan
"Family physican visits, mean (SD)",,0,2.5 (2.4),3.0 (2.9),2.4 (2.3),2.2 (1.9),0.003
"Family physican visits related to diabetes, mean (SD)",,0,1.6 (1.4),1.7 (1.6),1.6 (1.6),1.4 (0.9),0.105
"EQ5D, mean (SD)",,0,0.8 (0.2),0.8 (0.2),0.8 (0.1),0.8 (0.1),0.055
"AddQoL, mean (SD)",,0,-1.4 (1.1),-1.5 (1.3),-1.4 (1.1),-1.3 (0.7),0.103
"DSCA_general diet, mean (SD)",,0,5.4 (2.5),4.5 (2.8),5.6 (2.3),6.1 (1.9),<0.001
"DSCA_specific diet, mean (SD)",,0,5.4 (1.4),5.1 (1.6),5.4 (1.3),5.6 (1.1),0.003
"DSCA_exercise, mean (SD)",,0,5.0 (2.5),4.1 (2.6),5.3 (2.4),5.6 (2.3),<0.001
"DSCA_glucose, mean (SD)",,0,5.5 (2.2),5.3 (2.4),5.8 (2.0),5.5 (2.2),0.128
"DSCA_footcare, mean (SD)",,0,3.1 (1.7),2.9 (1.9),3.5 (1.3),2.9 (1.7),<0.001
"DSCA_smoking2, mean (SD)",,0,2.4 (7.0),2.8 (7.2),2.3 (7.2),2.0 (6.8),0.622
"DSCA_additional diet, mean (SD)",,0,4.6 (3.1),3.7 (3.2),4.9 (3.1),5.3 (2.9),<0.001
